DEPTH,A,B,C
3431.6736,31.93431,84.74926,36.80279
3431.826,27.98541,84.6044,36.43278
3431.9784,29.52578,85.14919,38.36586
3432.1308,27.31054,85.07255,33.15196
3432.2832,29.52253,85.87687,34.57427
3432.4356,28.49463,84.66111,33.65725
3432.588,24.72035,84.90841,30.38166
3432.7404,25.4077,86.29301,
3432.8928,29.00263,85.10386,35.40393
3433.0452,26.70124,85.5976,33.21994
3433.1976,20.05149,84.88417,24.01224
3433.35,24.90897,83.66149,29.08398
3433.5024,19.33323,85.03165,31.50061
3433.6548,26.38088,83.86954,32.33084
3433.8072,24.84033,85.74585,28.98291
3433.9596,22.31105,86.30784,32.08073
3434.112,21.72107,84.99194,29.00549
3434.2644,20.79019,86.98589,
3434.4168,22.64635,86.58172,28.39117
3434.5692,18.67688,85.77441,24.5689
3434.7216,19.72664,84.28415,26.25897
3434.874,21.54482,86.83192,24.22551
3435.0264,17.62681,85.39799,24.29481
3435.1788,17.05778,85.64828,24.68001
3435.3312,13.93944,85.49575,25.79771
3435.4836,13.34428,84.8618,21.0094
3435.636,10.50208,84.52889,12.4842
3435.7884,17.77501,85.89357,
3435.9408,20.69896,83.68773,34.55589
3436.0932,19.46636,88.4149,27.58191
3436.2456,10.07917,84.77756,15.84964
3436.398,17.56955,83.37631,26.44628
3436.5504,19.28797,85.16606,24.21263
3436.7028,13.20582,87.22654,16.69408
3436.8552,15.09636,85.10914,
3437.0076,8.03454,86.70018,15.78486
3437.16,15.06621,82.66784,18.21224
3437.3124,11.16266,84.5728,
3437.4648,14.93691,83.45039,
3437.6172,10.48945,83.04976,17.65763
3437.7696,16.5928,84.46561,24.80414
3437.922,19.13354,81.16865,23.89135
3438.0744,13.72594,82.99953,
3438.2268,12.1921,84.08567,16.99208
3438.3792,9.32519,84.07601,21.48051
3438.5316,14.6505,84.66285,17.73034
3438.684,13.53318,84.6331,18.29021
3438.8364,11.02027,85.62683,
3438.9888,17.51927,84.39254,28.82979
3439.1412,14.74697,85.18415,
3439.2936,13.59369,83.89495,22.66773
3439.446,15.97725,83.81246,
3439.5984,21.82278,83.09339,26.30116
3439.7508,20.96388,82.68609,
3439.9032,19.72471,82.13267,24.18929
3440.0556,21.38733,81.868,25.58482
3440.208,16.22497,81.96697,25.1151
3440.3604,19.73075,82.83466,
3440.5128,20.48623,82.00897,
3440.6652,18.72464,81.4965,23.22349
3440.8176,21.73522,80.95226,30.06459
3440.97,19.37515,80.5547,26.07726
3441.1224,23.55778,82.46067,34.10337
3441.2748,24.28443,81.17777,32.37085
3441.4272,14.17582,81.47088,25.47997
3441.5796,26.95189,81.46681,
3441.732,14.66511,81.574,22.94546
3441.8844,22.60539,79.27498,28.07339
3442.0368,28.52484,81.20796,34.33635
3442.1892,25.72852,79.66547,32.58404
3442.3416,22.87557,80.15575,28.73443
3442.494,24.72467,80.32748,29.13158
3442.6464,30.98596,80.61954,34.19869
3442.7988,22.55266,80.44764,
3442.9512,32.61128,77.38668,37.36262
3443.1036,29.93148,79.79177,38.55913
3443.256,27.07835,78.89739,30.64992
3443.4084,29.78852,81.25144,33.0765
3443.5608,29.17766,78.99015,
3443.7132,35.85842,75.22217,
3443.8656,36.04789,78.22041,
3444.018,28.97141,81.10332,37.40424
3444.1704,33.52475,79.89571,
3444.3228,31.18047,80.47228,34.13857
3444.4752,38.27064,75.9079,44.88895
3444.6276,29.01935,79.53507,32.18808
3444.78,37.47971,76.22743,
3444.9324,33.20186,77.92829,36.41241
3445.0848,30.45566,76.46847,
3445.2372,31.75422,76.95417,36.73875
3445.3896,31.43337,76.89181,
3445.542,31.05711,78.76709,
3445.6944,35.30831,77.94255,
3445.8468,32.78167,77.6249,38.9079
3445.9992,30.27762,75.98139,
3446.1516,36.21851,76.27193,37.93636
3446.304,33.05627,76.16164,40.09996
3446.4564,36.5902,77.50889,42.76304
3446.6088,35.94449,77.91601,
3446.7612,36.29858,77.65851,
3446.9136,45.17754,74.09625,53.12366
3447.066,38.95434,72.59383,
3447.2184,39.64959,73.6037,46.49339
3447.3708,33.46446,78.30669,37.78729
3447.5232,37.49681,75.46514,46.54543
3447.6756,40.32719,74.57387,
3447.828,36.66221,77.95024,45.72932
3447.9804,42.58331,76.56557,
3448.1328,36.5162,75.94524,40.32386
3448.2852,39.70287,75.04626,
3448.4376,38.4489,75.39036,43.86757
3448.59,40.30816,75.50706,44.75992
3448.7424,38.51509,77.38999,
3448.8948,39.49993,75.79775,
3449.0472,38.98088,76.21054,48.77812
3449.1996,37.73856,76.90153,
3449.352,41.64146,73.48422,
3449.5044,40.17124,75.99119,50.15564
3449.6568,39.2876,74.84354,47.82227
3449.8092,38.58496,72.26438,
3449.9616,42.39814,72.14135,53.82412
