DEPTH,A,B,C
3334.8996,23.22515,78.3183,33.04829
3335.052,26.18751,78.28116,30.57861
3335.2044,24.46633,79.05432,29.80337
3335.3568,23.17719,79.64978,29.13894
3335.5092,26.813,79.80319,33.28764
3335.6616,33.93473,79.38924,37.28882
3335.814,29.44045,78.49718,33.31698
3335.9664,32.35989,77.95008,37.58179
3336.1188,29.60553,79.5217,36.98018
3336.2712,30.19014,79.72859,34.28749
3336.4236,24.8829,79.35819,32.26555
3336.576,28.75122,80.33578,38.43854
3336.7284,29.35233,80.56169,33.02223
3336.8808,24.64196,81.73247,31.22853
3337.0332,27.41303,81.9911,36.73584
3337.1856,28.53888,78.73943,34.95446
3337.338,24.67462,80.46685,30.65628
3337.4904,22.54636,80.87482,32.98176
3337.6428,23.37858,80.71106,30.09745
3337.7952,28.73604,79.33866,38.789
3337.9476,29.06265,78.37908,37.63402
3338.1,25.71081,80.86898,32.06537
3338.2524,28.53144,79.50609,37.001
3338.4048,31.20795,80.22344,38.83241
3338.5572,31.10731,79.27621,40.72973
3338.7096,34.03561,78.564,39.62019
3338.862,33.84353,80.28733,40.49036
3339.0144,27.49105,81.23389,34.27968
3339.1668,35.65252,80.61734,43.6933
3339.3192,29.24533,83.5998,32.8579
3339.4716,33.62655,80.74562,42.61994
3339.624,30.90764,81.49584,38.60874
3339.7764,29.67741,79.89794,33.44287
3339.9288,25.95172,80.29796,36.30272
3340.0812,30.95405,83.08327,42.67306
3340.2336,27.38788,80.70215,36.97814
3340.386,35.83487,79.38156,45.97346
3340.5384,37.94817,80.36084,44.27657
3340.6908,31.57489,81.34538,33.9273
3340.8432,35.30426,79.9004,37.18843
3340.9956,32.63704,81.10602,39.73454
3341.148,33.00326,82.98006,37.47797
3341.3004,37.79237,79.9062,41.75014
3341.4528,35.74061,79.59485,42.11097
3341.6052,42.51908,81.46681,49.43943
3341.7576,37.05236,81.83072,39.25755
3341.91,42.12985,79.817,46.84042
3342.0624,39.50862,79.13844,49.54782
3342.2148,41.52313,79.92248,44.70197
3342.3672,38.82136,81.23569,46.8047
3342.5196,40.59681,82.5127,44.69712
3342.672,41.08658,79.87419,48.37386
3342.8244,38.54455,81.47437,47.06482
3342.9768,43.94044,81.65169,50.98668
3343.1292,44.57797,77.96214,52.90254
3343.2816,44.32773,82.17014,46.47344
3343.434,47.38176,79.12353,55.64685
3343.5864,47.69223,80.96382,50.55032
3343.7388,42.68728,81.68021,48.64735
3343.8912,45.2291,82.37092,50.75907
3344.0436,42.62223,82.18648,49.0262
3344.196,44.86899,78.39893,51.62476
3344.3484,43.49321,80.57799,46.88986
3344.5008,51.27212,80.57874,52.62555
3344.6532,46.67639,80.92658,53.95798
3344.8056,45.21456,82.00953,50.6553
3344.958,49.92234,81.73227,57.37048
3345.1104,40.35035,83.00396,45.45249
3345.2628,41.00996,81.96892,42.90383
3345.4152,48.95459,78.86806,56.75744
3345.5676,47.25286,80.83977,51.3917
3345.72,48.98726,81.67135,54.52571
3345.8724,43.84375,80.67828,47.67116
3346.0248,48.47859,82.09074,57.2188
3346.1772,54.69885,81.52989,56.65508
3346.3296,51.41578,81.12216,55.15008
3346.482,49.21735,77.65876,55.14955
3346.6344,47.48674,80.09475,49.98392
3346.7868,48.4858,83.77353,53.52014
3346.9392,43.78824,81.58832,53.04211
3347.0916,51.99162,78.66003,55.9013
3347.244,54.51606,82.16985,59.50985
3347.3964,47.6434,81.75758,45.56607
3347.5488,51.38683,82.52693,55.51909
3347.7012,50.25677,81.72167,54.01807
3347.8536,51.36131,81.79056,53.7313
3348.006,54.38944,81.23617,61.34508
3348.1584,48.10478,82.59255,51.83055
3348.3108,55.94598,83.32243,59.07709
3348.4632,56.90249,81.61918,59.86446
3348.6156,53.36749,79.09356,53.46531
3348.768,47.08229,82.47229,48.92602
3348.9204,51.45434,82.65161,58.04874
3349.0728,58.69778,81.63771,57.1437
3349.2252,47.00138,81.43396,50.02696
3349.3776,55.1252,82.12,58.08338
3349.53,52.91972,82.15874,61.44712
3349.6824,58.04281,83.35438,63.32144
3349.8348,53.47846,80.0402,56.72764
3349.9872,56.04296,79.93265,63.71679
3350.1396,56.15175,80.14172,58.64986
3350.292,60.54584,79.24336,67.20316
3350.4444,54.57432,79.63885,55.80998
3350.5968,55.79957,77.18527,63.60644
3350.7492,49.53753,80.89341,53.34509
3350.9016,57.37185,80.65627,58.89933
3351.054,50.71194,80.59121,54.95009
3351.2064,50.75084,83.46866,55.50195
3351.3588,52.26321,80.9023,55.57445
3351.5112,47.92862,83.05052,53.75801
3351.6636,53.31462,80.96991,56.2832
3351.816,54.13619,81.48547,59.90214
3351.9684,51.9509,81.11549,57.58249
3352.1208,46.01953,83.26951,50.44789
3352.2732,50.28083,81.00983,53.89683
3352.4256,53.30978,81.03671,58.09848
3352.578,44.10383,82.21297,50.51584
3352.7304,45.86353,81.11273,56.1535
3352.8828,51.62471,81.02789,58.55381
3353.0352,48.66019,83.61346,55.33078
3353.1876,49.39922,80.4407,62.07041
3353.34,53.51507,80.59325,59.30515
3353.4924,49.33718,82.16629,55.0735
3353.6448,49.21242,81.98267,55.55555
3353.7972,55.33619,79.64691,57.36843
3353.9496,46.64394,78.01206,51.36677
3354.102,44.56657,81.73763,48.41008
3354.2544,47.91439,77.88437,55.2709
3354.4068,47.63185,82.28486,51.86201
3354.5592,43.87091,81.21779,49.52493
3354.7116,41.83077,82.44798,49.75433
3354.864,51.32978,78.66752,58.6878
3355.0164,45.10876,78.74539,50.50724
3355.1688,41.95436,81.31835,45.75435
3355.3212,45.93374,80.29084,54.10585
3355.4736,42.34178,80.20151,49.99196
3355.626,42.16605,80.83953,43.72392
3355.7784,43.80072,83.73275,47.70457
3355.9308,37.39212,82.29255,43.49356
3356.0832,41.97439,81.78013,49.27899
3356.2356,46.61603,80.75317,54.04139
3356.388,41.8409,82.14707,47.82981
3356.5404,39.51637,80.40641,46.92625
3356.6928,39.10532,78.14368,45.81921
3356.8452,39.37633,80.25486,43.69035
3356.9976,39.69496,81.31912,44.74252
3357.15,40.0317,79.04172,46.31558
3357.3024,43.41466,79.39668,49.13733
3357.4548,34.11215,80.08325,35.96619
3357.6072,42.28479,81.39901,46.71285
3357.7596,37.96679,81.05221,44.04757
3357.912,39.92556,80.54902,45.09232
3358.0644,35.69027,81.05609,41.24016
3358.2168,41.94734,79.23425,49.16402
3358.3692,40.76872,79.59984,44.0945
3358.5216,38.82547,78.1388,41.33812
3358.674,30.71754,78.06004,37.26035
3358.8264,37.66972,79.72743,45.88118
3358.9788,36.37172,80.03711,46.94415
3359.1312,30.2112,81.92974,38.66296
3359.2836,34.02768,81.69798,36.52976
3359.436,33.85181,81.62902,39.47846
3359.5884,34.23415,78.39641,41.85322
3359.7408,32.66834,79.3127,40.01731
3359.8932,33.0436,80.16225,41.04694
3360.0456,36.75654,81.97416,40.29472
3360.198,35.9253,80.74394,42.30914
3360.3504,23.87252,82.02664,32.02942
3360.5028,31.50972,78.98046,40.67781
3360.6552,32.11772,78.20325,37.34084
3360.8076,26.92936,80.89702,33.14928
3360.96,32.31138,77.73178,32.88775
3361.1124,35.8162,78.15087,41.1432
3361.2648,29.16805,79.20729,35.13838
3361.4172,33.22932,80.55883,37.21772
3361.5696,29.72158,78.66011,37.49842
3361.722,30.34189,75.97866,38.17318
3361.8744,36.76697,78.46124,37.82693
3362.0268,31.15621,77.77349,39.13598
3362.1792,33.28204,78.26035,38.06794
3362.3316,25.7448,79.15246,34.59643
3362.484,36.33636,77.25709,40.18383
3362.6364,31.55654,79.16977,38.68346
3362.7888,29.01154,76.68364,36.23157
3362.9412,31.79796,77.40584,40.02446
3363.0936,25.87398,79.65805,33.68381
3363.246,33.93089,76.81537,40.69605
3363.3984,30.13487,76.116,34.25171
3363.5508,31.34812,78.59309,34.87202
3363.7032,30.68357,79.16583,36.36404
3363.8556,31.31256,77.59881,38.7609
3364.008,35.44349,74.61064,41.72586
3364.1604,34.0001,77.95932,42.67329
3364.3128,35.19088,74.87519,42.25495
3364.4652,32.80047,77.53126,37.72507
3364.6176,34.25488,75.81428,41.18058
3364.77,31.61401,75.82189,40.06179
3364.9224,40.28453,75.32283,48.23759
3365.0748,30.06801,77.10735,42.48032
3365.2272,38.25259,75.27002,43.93755
3365.3796,39.13388,76.56254,45.89616
3365.532,32.3559,76.28453,41.11449
3365.6844,42.21905,76.46542,48.82223
3365.8368,38.85451,76.08198,44.69701
3365.9892,38.31051,74.9417,41.87089
3366.1416,36.34221,74.98938,42.68355
3366.294,35.73849,74.0985,40.95576
3366.4464,35.93445,76.35338,38.93614
3366.5988,37.6553,75.28124,43.08026
3366.7512,40.81282,72.34886,46.02659
3366.9036,37.80266,74.96856,46.73972
3367.056,34.88144,74.93481,44.16232
3367.2084,40.69786,77.00291,45.11765
3367.3608,41.61532,72.90173,48.57778
3367.5132,41.90518,73.14465,44.7829
3367.6656,42.46978,76.09634,47.96287
3367.818,39.16875,76.86456,47.03319
3367.9704,38.16384,74.47226,47.79174
3368.1228,38.64333,74.51702,44.36712
3368.2752,37.33127,76.19518,47.17899
3368.4276,43.58516,71.71062,47.50976
3368.58,43.01088,72.34356,47.50484
3368.7324,42.55511,74.29837,51.49916
3368.8848,36.38705,77.41241,47.57305
3369.0372,42.94654,74.04002,51.37546
3369.1896,50.5166,73.54498,56.97784
3369.342,45.66339,75.51105,46.73133
3369.4944,49.67533,76.07784,50.63222
3369.6468,44.42807,73.64752,51.89691
3369.7992,53.4808,72.96688,58.99584
3369.9516,49.11647,75.83566,52.48132
3370.104,50.95666,71.55617,58.13578
3370.2564,57.04164,73.71499,63.19656
3370.4088,54.21833,71.69742,63.23318
3370.5612,48.11136,73.97458,55.14808
3370.7136,47.061,73.73637,56.9918
3370.866,47.97818,72.76081,55.01014
3371.0184,50.66597,72.35016,57.2235
3371.1708,50.06008,73.97722,59.22055
3371.3232,50.01747,74.87343,53.85126
3371.4756,55.42604,72.74079,68.73436
3371.628,51.11799,73.65787,58.52987
3371.7804,58.41894,73.19712,65.22984
3371.9328,51.89622,72.35934,59.9295
3372.0852,57.29422,73.64041,67.84754
3372.2376,53.51744,74.34171,61.56153
3372.39,55.3659,76.24677,56.75498
3372.5424,50.99232,73.37029,61.0592
3372.6948,50.21907,73.433,55.98667
3372.8472,54.30844,74.33906,60.56072
3372.9996,57.27118,74.00371,59.845
3373.152,54.64589,72.82324,62.29099
3373.3044,51.44944,73.51361,56.29766
3373.4568,51.35024,74.71605,57.78663
3373.6092,51.48962,73.10886,57.3532
3373.7616,50.48486,73.81796,61.79442
3373.914,56.06097,73.64133,67.00019
3374.0664,58.74267,74.38801,64.38768
3374.2188,55.5256,73.01289,61.87976
3374.3712,48.35022,72.66843,54.41448
3374.5236,54.83565,71.67271,64.19892
3374.676,55.38015,72.44735,60.908
3374.8284,62.25495,71.42082,67.1209
3374.9808,51.3635,74.51547,60.04476
3375.1332,54.66917,72.85058,59.64386
3375.2856,60.68218,72.60545,66.36821
3375.438,57.21859,73.11421,59.2649
3375.5904,56.51807,73.69571,64.20281
3375.7428,54.83317,76.14145,65.16666
3375.8952,54.33013,75.50284,61.82447
3376.0476,54.74632,74.74522,64.23988
3376.2,50.41518,74.90322,54.5326
3376.3524,55.66799,74.23066,62.13434
3376.5048,48.31529,76.3298,52.04341
3376.6572,52.42974,76.10439,57.59125
3376.8096,50.27552,74.72238,58.4979
3376.962,47.33369,76.38248,53.75925
3377.1144,49.96739,73.59247,53.04093
3377.2668,48.05505,76.6589,50.79724
3377.4192,46.1053,77.70023,48.6168
3377.5716,48.13746,76.2338,55.49389
3377.724,44.78058,79.34296,55.62652
3377.8764,48.55108,75.6304,58.19452
3378.0288,43.80293,77.75194,45.24469
3378.1812,48.96098,76.76573,58.42614
3378.3336,43.26438,77.63473,51.87026
3378.486,44.87113,77.46919,47.15347
3378.6384,44.60492,77.86749,49.91955
3378.7908,49.70442,78.08457,57.95165
3378.9432,46.72485,79.26047,53.61333
3379.0956,45.44869,77.88936,48.15875
3379.248,46.67702,78.7798,53.84122
3379.4004,37.99108,78.35591,39.25924
3379.5528,44.37821,79.25288,49.57011
3379.7052,49.95861,76.67606,58.63863
3379.8576,44.58444,79.7991,50.22221
3380.01,43.72407,81.36577,47.76288
3380.1624,45.40699,78.40754,53.48777
3380.3148,46.05555,75.91899,54.90713
3380.4672,37.04313,79.33725,46.7796
3380.6196,38.28296,81.37995,46.29553
3380.772,43.33166,79.90046,51.72682
3380.9244,39.65073,80.17957,47.47304
3381.0768,45.06492,80.37066,51.12959
3381.2292,39.95237,80.5995,46.03103
3381.3816,33.89844,82.47797,39.29596
3381.534,35.76411,81.93,38.67428
3381.6864,30.62571,83.51269,34.29669
3381.8388,38.29421,81.05542,43.4959
3381.9912,36.8594,82.01413,43.27356
3382.1436,35.35776,80.87145,45.20616
3382.296,38.64997,80.1105,44.65285
3382.4484,38.21211,83.03125,46.14178
3382.6008,33.83279,81.98372,42.65187
3382.7532,27.47164,83.72756,33.21397
3382.9056,35.23358,81.82813,42.73991
3383.058,34.60941,81.15059,40.252
3383.2104,33.61804,82.09632,43.03749
3383.3628,34.81051,83.70631,41.99249
3383.5152,28.38309,83.69116,31.64578
3383.6676,37.90651,79.61897,44.61493
3383.82,28.88421,82.84288,39.40535
3383.9724,33.98799,84.54811,38.99909
3384.1248,26.54496,83.34163,34.17434
3384.2772,29.53153,81.06058,37.67793
3384.4296,36.58258,84.50465,39.2066
3384.582,30.87117,83.97658,38.06668
3384.7344,33.5949,82.7316,36.06793
3384.8868,31.08896,82.81071,35.71333
3385.0392,29.2801,84.88985,37.81893
3385.1916,33.09017,82.4308,40.06534
3385.344,28.10128,85.2674,33.2131
3385.4964,23.49258,85.28971,30.93704
3385.6488,26.32941,84.5637,32.40531
3385.8012,29.92192,83.96059,35.97103
3385.9536,29.80068,83.64716,37.55087
3386.106,24.19878,86.00331,28.45965
3386.2584,26.59844,83.39947,33.18957
3386.4108,26.67839,82.52697,32.59814
3386.5632,27.57326,85.12186,29.57146
3386.7156,24.63245,85.6267,28.46139
3386.868,26.19767,85.25231,36.18535
3387.0204,25.89942,85.24964,32.95887
3387.1728,30.57805,83.71153,33.28339
3387.3252,30.32865,85.11415,32.16636
3387.4776,27.64183,84.55106,33.45947
3387.63,26.30871,84.25263,36.51764
3387.7824,28.66673,84.13859,34.29852
3387.9348,26.53373,87.28488,35.32663
3388.0872,25.57573,82.94703,33.16122
3388.2396,26.54028,85.50712,33.6876
3388.392,26.48605,82.92151,29.76777
3388.5444,24.54709,85.11618,33.15715
3388.6968,28.60022,84.13436,33.86928
3388.8492,30.02127,81.95397,38.68838
3389.0016,23.66126,85.88912,27.78743
3389.154,29.71863,84.06771,36.17247
3389.3064,28.69473,82.1662,36.16372
3389.4588,30.26683,85.46262,35.48941
3389.6112,29.61951,86.27776,36.09948
3389.7636,26.38669,86.83014,31.37449
3389.916,26.70177,85.42459,31.05279
3390.0684,31.03682,84.39577,40.8479
3390.2208,35.26058,85.29544,43.03304
3390.3732,25.10117,87.23695,28.87965
3390.5256,32.5387,85.45308,39.34267
3390.678,35.24957,82.54448,39.2318
3390.8304,31.36352,84.48482,34.14425
3390.9828,34.26372,84.3194,42.34202
3391.1352,31.02848,82.08737,33.14354
3391.2876,32.3437,84.60435,40.27538
3391.44,28.50946,87.3212,33.19641
3391.5924,26.49126,85.63949,31.90339
3391.7448,37.3993,84.97657,43.4396
3391.8972,31.7548,84.24566,38.9709
3392.0496,33.48205,83.64814,37.15595
3392.202,31.39724,84.47311,38.93355
3392.3544,32.14416,82.88937,38.49083
3392.5068,36.5214,82.01804,39.22461
3392.6592,34.50064,84.95802,39.38639
3392.8116,38.53823,84.43843,47.028
3392.964,38.72262,81.53146,48.65898
3393.1164,38.89745,83.81105,45.84832
3393.2688,38.42343,82.56918,40.96293
3393.4212,43.10976,82.32944,49.44294
3393.5736,35.23892,83.60378,42.94124
3393.726,38.11082,83.76134,45.17367
3393.8784,42.46243,81.96022,49.68852
3394.0308,43.41594,83.35393,49.14402
3394.1832,35.49951,83.16256,40.97789
3394.3356,39.95608,82.81215,43.73652
3394.488,45.18175,80.21803,45.86422
3394.6404,43.06613,84.06271,48.59294
3394.7928,42.66859,82.03115,48.35907
3394.9452,41.53628,82.42663,48.16993
3395.0976,41.6596,79.55501,44.26103
3395.25,43.80611,80.10641,51.01144
3395.4024,42.36367,82.7248,52.58246
3395.5548,44.01392,81.26398,49.49266
3395.7072,44.2341,78.51666,50.02736
3395.8596,41.15092,82.44679,47.19663
3396.012,45.88805,79.7616,56.43969
3396.1644,54.57919,80.72665,56.38049
3396.3168,40.61945,80.943,46.82978
3396.4692,46.28818,80.36395,49.56923
3396.6216,43.16845,81.92008,47.00408
3396.774,47.31184,78.72482,52.77547
3396.9264,45.88183,78.74183,54.9765
3397.0788,47.73232,79.33582,57.62761
3397.2312,49.47547,80.21774,55.59384
3397.3836,46.98664,77.91549,51.86761
3397.536,49.28123,77.07994,61.31497
3397.6884,39.36488,81.46991,43.99203
3397.8408,52.31533,77.72696,56.22422
3397.9932,48.89619,78.40367,49.96829
3398.1456,50.97048,76.2453,60.30233
3398.298,44.12021,78.5959,52.47983
3398.4504,45.67693,79.07718,57.38445
3398.6028,47.8533,79.78484,49.64795
3398.7552,47.50302,77.70357,56.97226
3398.9076,48.25836,80.4123,53.50479
3399.06,51.57472,77.01186,59.17954
3399.2124,42.94958,78.21441,44.98158
3399.3648,51.95753,79.43452,60.57335
3399.5172,48.50396,78.26803,56.05285
3399.6696,48.10514,77.31806,53.86783
3399.822,44.39463,78.25719,52.00365
3399.9744,49.82095,79.15931,53.13529
3400.1268,41.05851,80.51566,45.37514
3400.2792,50.71494,76.23387,55.42637
3400.4316,44.00815,78.07548,45.45665
3400.584,47.68623,77.5894,55.67466
3400.7364,46.99706,76.30781,56.19938
3400.8888,50.251,76.84336,54.2617
3401.0412,45.84719,77.48441,52.76188
3401.1936,44.05106,79.02332,49.22627
3401.346,43.56913,79.08431,50.26182
3401.4984,47.89127,76.50051,52.40807
3401.6508,45.65747,76.88288,49.66244
3401.8032,42.3711,78.33929,51.17936
3401.9556,41.30402,76.91013,47.78641
3402.108,37.39155,78.81641,49.00356
3402.2604,43.07921,77.06292,49.62133
3402.4128,35.96908,76.98392,40.81099
